imagem,fator_escala,n_deteccoes
imagem_web_10.jpg,0.2,5
imagem_web_10.jpg,0.15,1
imagem_web_2.jpg,1.0,6
imagem_web_2.jpg,0.75,6
imagem_web_2.jpg,0.5,6
imagem_web_2.jpg,0.4,6
imagem_web_2.jpg,0.3,4
imagem_web_2.jpg,0.25,2
imagem_web_2.jpg,0.2,4
imagem_web_2.jpg,0.15,1
imagem_web_2.jpg,1.0,6
imagem_web_2.jpg,0.75,6
imagem_web_2.jpg,0.5,6
imagem_web_2.jpg,0.4,6
imagem_web_2.jpg,0.3,4
imagem_web_2.jpg,0.25,2
imagem_web_2.jpg,0.2,4
imagem_web_2.jpg,0.15,1
imagem_web_3.jpg,1.0,10
imagem_web_3.jpg,0.75,12
imagem_web_3.jpg,0.5,10
imagem_web_3.jpg,0.4,9
imagem_web_3.jpg,0.3,10
imagem_web_3.jpg,0.25,12
imagem_web_3.jpg,0.2,8
imagem_web_3.jpg,0.15,6
imagem_web_3.jpg,1.0,10
imagem_web_3.jpg,0.75,12
imagem_web_3.jpg,0.5,10
imagem_web_3.jpg,0.4,9
imagem_web_3.jpg,0.3,10
imagem_web_3.jpg,0.25,12
imagem_web_3.jpg,0.2,8
imagem_web_3.jpg,0.15,6
imagem_web_4.jpg,1.0,11
imagem_web_4.jpg,0.75,12
imagem_web_4.jpg,0.5,11
imagem_web_4.jpg,0.4,12
imagem_web_4.jpg,0.3,12
imagem_web_4.jpg,0.25,10
imagem_web_4.jpg,0.2,10
imagem_web_4.jpg,0.15,8
imagem_web_4.jpg,1.0,11
imagem_web_4.jpg,0.75,12
imagem_web_4.jpg,0.5,11
imagem_web_4.jpg,0.4,12
imagem_web_4.jpg,0.3,12
imagem_web_4.jpg,0.25,10
imagem_web_4.jpg,0.2,10
imagem_web_4.jpg,0.15,8
imagem_web_5.jpg,1.0,3
imagem_web_5.jpg,0.75,3
imagem_web_5.jpg,0.5,3
imagem_web_5.jpg,0.4,3
imagem_web_5.jpg,0.3,3
imagem_web_5.jpg,0.25,3
imagem_web_5.jpg,0.2,3
imagem_web_5.jpg,0.15,3
imagem_web_5.jpg,1.0,3
imagem_web_5.jpg,0.75,3
imagem_web_5.jpg,0.5,3
imagem_web_5.jpg,0.4,3
