imagem,threshold_box,n_deteccoes,n_pequeno,n_medio,n_grande
DSCN7621.JPG,0,13,0,0,13
DSCN7621.JPG,15,13,0,0,13
DSCN7621.JPG,20,13,0,0,13
DSCN7621.JPG,25,13,0,0,13
DSCN7621.JPG,30,13,0,0,13
DSCN7621.JPG,40,13,0,0,13
DSCN7621.JPG,50,13,0,0,13
DSCN7621.JPG,60,13,0,0,13
DSCN7621.JPG,0,13,0,0,13
DSCN7621.JPG,15,13,0,0,13
DSCN7621.JPG,20,13,0,0,13
DSCN7621.JPG,25,13,0,0,13
DSCN7621.JPG,30,13,0,0,13
DSCN7621.JPG,40,13,0,0,13
DSCN7621.JPG,50,13,0,0,13
DSCN7621.JPG,60,13,0,0,13
DSCN7622.JPG,0,7,0,0,7
DSCN7622.JPG,15,7,0,0,7
DSCN7622.JPG,20,7,0,0,7
DSCN7622.JPG,25,7,0,0,7
DSCN7622.JPG,30,7,0,0,7
DSCN7622.JPG,40,7,0,0,7
DSCN7622.JPG,50,7,0,0,7
DSCN7622.JPG,60,7,0,0,7
DSCN7622.JPG,0,7,0,0,7
DSCN7622.JPG,15,7,0,0,7
DSCN7622.JPG,20,7,0,0,7
DSCN7622.JPG,25,7,0,0,7
DSCN7622.JPG,30,7,0,0,7
DSCN7622.JPG,40,7,0,0,7
DSCN7622.JPG,50,7,0,0,7
DSCN7622.JPG,60,7,0,0,7
DSCN7623.JPG,0,22,0,0,22
DSCN7623.JPG,15,22,0,0,22
DSCN7623.JPG,20,22,0,0,22
DSCN7623.JPG,25,22,0,0,22
DSCN7623.JPG,30,22,0,0,22
DSCN7623.JPG,40,22,0,0,22
DSCN7623.JPG,50,22,0,0,22
DSCN7623.JPG,60,22,0,0,22
DSCN7623.JPG,0,22,0,0,22
DSCN7623.JPG,15,22,0,0,22
DSCN7623.JPG,20,22,0,0,22
DSCN7623.JPG,25,22,0,0,22
DSCN7623.JPG,30,22,0,0,22
DSCN7623.JPG,40,22,0,0,22
DSCN7623.JPG,50,22,0,0,22
DSCN7623.JPG,60,22,0,0,22
DSCN7624.JPG,0,9,0,0,9
DSCN7624.JPG,15,9,0,0,9
DSCN7624.JPG,20,9,0,0,9
DSCN7624.JPG,25,9,0,0,9
DSCN7624.JPG,30,9,0,0,9
DSCN7624.JPG,40,9,0,0,9
DSCN7624.JPG,50,9,0,0,9
DSCN7624.JPG,60,9,0,0,9
DSCN7624.JPG,0,9,0,0,9
DSCN7624.JPG,15,9,0,0,9
DSCN7624.JPG,20,9,0,0,9
DSCN7624.JPG,25,9,0,0,9
DSCN7624.JPG,30,9,0,0,9
DSCN7624.JPG,40,9,0,0,9
DSCN7624.JPG,50,9,0,0,9
DSCN7624.JPG,60,9,0,0,9
DSCN7625.JPG,0,18,0,0,18
DSCN7625.JPG,15,18,0,0,18
DSCN7625.JPG,20,18,0,0,18
DSCN7625.JPG,25,18,0,0,18
DSCN7625.JPG,30,18,0,0,18
DSCN7625.JPG,40,18,0,0,18
DSCN7625.JPG,50,18,0,0,18
DSCN7625.JPG,60,18,0,0,18
DSCN7625.JPG,0,18,0,0,18
DSCN7625.JPG,15,18,0,0,18
DSCN7625.JPG,20,18,0,0,18
DSCN7625.JPG,25,18,0,0,18
DSCN7625.JPG,30,18,0,0,18
DSCN7625.JPG,40,18,0,0,18
DSCN7625.JPG,50,18,0,0,18
DSCN7625.JPG,60,18,0,0,18
DSCN7626.JPG,0,0,0,0,0
DSCN7626.JPG,15,0,0,0,0
DSCN7626.JPG,20,0,0,0,0
DSCN7626.JPG,25,0,0,0,0
DSCN7626.JPG,30,0,0,0,0
DSCN7626.JPG,40,0,0,0,0
DSCN7626.JPG,50,0,0,0,0
DSCN7626.JPG,60,0,0,0,0
DSCN7626.JPG,0,0,0,0,0
DSCN7626.JPG,15,0,0,0,0
DSCN7626.JPG,20,0,0,0,0
