imagem,fator_luminancia,deteccoes_validas,confianca_media
20260411_095448_resized.jpg,0.6,2,0.3151
20260411_095448_resized.jpg,0.7,2,0.3128
20260411_095448_resized.jpg,0.8,2,0.3151
20260411_095448_resized.jpg,0.9,2,0.3173
20260411_095448_resized.jpg,1.0,2,0.3143
20260411_095448_resized.jpg,1.1,2,0.3135
20260411_095448_resized.jpg,1.2,3,0.3
20260411_095448_resized.jpg,1.3,3,0.3056
20260411_095448_resized.jpg,1.4,3,0.299
20260411_095448_resized.jpg,1.5,3,0.3031
